"id","name","email","email_verified_at","password","role","department","phone","birth_date","gender","year","major","parent_id","remember_token","created_at","updated_at"
"295","Alaina Fadel","kris.julius@example.net",NULL,"$2y$12$ZhvdhW0VNgIEyC2MdvzquuceavC53eRHSnRfnbvwZ4vKQWuCT3dKm","student",NULL,"+1-641-991-6476","2007-01-05","female","junior","Computer Science","420",NULL,"2025-04-29 10:58:43","2025-04-29 10:58:53"
"296","Otha Smith","vwolf@example.org",NULL,"$2y$12$dioB3aut0ECt6MvPr59dSOT5eXChmYI3Kt0Gu9iU1NP/En2vhbLz2","student",NULL,"858-755-3420","1997-03-09","female","junior","Computer Science","421",NULL,"2025-04-29 10:58:43","2025-04-29 10:58:53"
"297","Jedediah Christiansen","preichel@example.org",NULL,"$2y$12$SCs/w3vMnATP/Xzp.ob8Tutpv81tNUaes9NXu4kaI3zZqKlN0ONiu","student",NULL,"+1 (380) 579-2480","1997-07-08","male","junior","Computer Science","422",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:54"
"298","Vivianne Kub","brennan.koepp@example.net",NULL,"$2y$12$n.cVBoAt3AT2Gdw682mDSunq26l8th2C0XUbXAY8FaXwNoSOzSZtq","student",NULL,"+1-907-658-4341","2007-03-03","female","junior","Computer Science","423",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:54"
"299","Cale Leffler","royce.schinner@example.net",NULL,"$2y$12$c.rjeTjC.oGCSjnlVz7I1.8sKqu1fofsp7bmYVimGdnFfVbp/c8Z.","student",NULL,"+1-805-961-6608","1996-06-17","male","junior","Computer Science","424",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:54"
"300","Kacie Champlin","melissa29@example.net",NULL,"$2y$12$WWFcKPKugNUIyz511EQJ6OiAXdCN22WVpdaNGF2LxKP2G.kRE3igy","student",NULL,"1-820-613-0774","2004-05-05","female","junior","Computer Science","425",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:55"
"301","Garrett Pacocha","yvonne.skiles@example.org",NULL,"$2y$12$l5lkUga0pjNg/oK3TpDFHuN.78vdUoQ8CQsrgX4peFPigj1WsBdri","student",NULL,"+1 (940) 586-9522","1997-12-06","male","junior","Computer Science","426",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:55"
"302","Randall Rau","dmetz@example.net",NULL,"$2y$12$pgcll15QoHlFtTUYoQ4e0OziYLKSCtdopJfRs00hOY1.l/YVemeMa","student",NULL,"1-707-633-4398","2004-10-17","male","junior","Computer Science","427",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:55"
"303","Jennifer Balistreri","schamberger.pedro@example.com",NULL,"$2y$12$vsmxCBoOIwfsISwBZtTQGep/Y4giHwDWb52we4evBjldJyzFr3dzm","student",NULL,"+1.341.792.0503","2005-12-11","female","junior","Computer Science","428",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:55"
"304","Lavon Steuber","ywalter@example.net",NULL,"$2y$12$B0Sh6GIA132s2VMboAH.meb7ZpXjRot6nYD3b65jmuuHRwU0OlOOe","student",NULL,"(817) 615-0043","2004-07-28","male","junior","Computer Science","429",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:56"
"305","Wilford Kuhic","jrodriguez@example.org",NULL,"$2y$12$W8e/LLBdVL70bTwqPLXfm.qeNVTFKomDPLd5qqvD6x4Jz8gNgAR3i","student",NULL,"551.597.8832","2006-12-30","male","junior","Computer Science","430",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:56"
"306","Albin Schulist","henry68@example.org",NULL,"$2y$12$qtUKvwUTGZ1MhWiboiOMh.2LKVDx.wHJ9WlDxPrr9ZqK/aGE40cdS","student",NULL,"1-351-255-3253","2000-02-27","male","junior","Computer Science","431",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:56"
"307","Chelsie Smith","cassandra29@example.com",NULL,"$2y$12$VZmOAzO.ydCLT6VJAuhsYeh.BdIs3LZy6LjR3HAOIx.2msNxIxDm.","student",NULL,"769.860.6639","2005-06-27","female","junior","Computer Science","432",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:57"
"308","Amalia Haag","bernhard.arely@example.org",NULL,"$2y$12$qYrPO.QTERY/hcZNulPSc.VwTYiZtkR0zY6mmcSM46Aj3u6agwh26","student",NULL,"620-607-9663","2000-09-18","female","junior","Computer Science","433",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:57"
"309","Kaya Bernhard","candice98@example.com",NULL,"$2y$12$qayrnxNjQv5pArUexIA6EORCuuJyuCXV5ZSdTviWZ9/QMh4GtvGDG","student",NULL,"1-563-856-2257","2006-07-14","female","junior","Computer Science","434",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:58"
"310","Louvenia Hegmann","ezequiel58@example.com",NULL,"$2y$12$Ox7qdGvrDk8BISdrMiyn2en0Ofw8EQgTVdO3DH.lP/W6exJegSSY2","student",NULL,"+1.704.642.8940","1997-09-05","male","junior","Computer Science","435",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:58"
"311","Rowan Williamson","ldaniel@example.org",NULL,"$2y$12$tPVyXCTcHCdeqhS3dVW.ieG/TaUxUQ3zx1XTU8Kn6Kl5pIydo2W2O","student",NULL,"423-744-3466","1995-09-28","male","junior","Computer Science","436",NULL,"2025-04-29 10:58:44","2025-04-29 10:58:58"
"312","Frederick O'Keefe","rstiedemann@example.com",NULL,"$2y$12$xrpKi7mUc19eC.QQsU8beO2Mzi0MPfWeKUk2pfnIQeg0MiSH2q54q","student",NULL,"(409) 687-7585","2003-01-25","male","junior","Computer Science","437",NULL,"2025-04-29 10:58:45","2025-04-29 10:58:58"
"313","Jan Rau","clark28@example.net",NULL,"$2y$12$pFjjE9nqHSWzwHGERxYUUuAVoc9L2ilLEO.KOsHmKj.IzVQ5e96US","student",NULL,"520-840-9334","1995-10-28","male","junior","Computer Science","438",NULL,"2025-04-29 10:58:45","2025-04-29 10:58:59"
"314","Vivien Mohr","vkulas@example.net",NULL,"$2y$12$XhpDdKDU14AaRfdtHTk9yeL2MX2vkAwoUT3Nmkoru2u7S7b0y6mUm","student",NULL,"757-343-0826","2002-09-24","female","junior","Computer Science","439",NULL,"2025-04-29 10:58:45","2025-04-29 10:58:59"
"315","Vito Kuhic","gutmann.laisha@example.com",NULL,"$2y$12$AsryTHqA19bfGC2ux.XHDuin2nyKr.kBwv5b5dKtm98TOxTNCLcT6","student",NULL,"617-593-8009","2000-11-16","male","junior","Computer Science","440",NULL,"2025-04-29 10:58:45","2025-04-29 10:58:59"
"316","Alyce Zboncak","hackett.tod@example.net",NULL,"$2y$12$miDzhA7QtJsPcVDxn2O7oe99nsrswcl667GXO3UdwMaRrjY7txT9m","student",NULL,"941-900-9624","1997-09-11","female","junior","Computer Science","441",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:00"
"317","Dennis Fahey","schaden.cesar@example.org",NULL,"$2y$12$WqDqQ33oYb5RNXlod9PZO.zOJ5P1mczwwOAggh7rEIDALxEUWPoFW","student",NULL,"+1-603-783-9071","2006-11-25","male","junior","Computer Science","442",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:00"
"318","Verona Konopelski","bdicki@example.net",NULL,"$2y$12$mZdI.TjsgEdd9emxGInTgONQ3bRqE04JF2AY2reamYzbV/SGh5Iqi","student",NULL,"1-541-696-6244","2001-07-16","female","junior","Computer Science","443",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:00"
"319","Nathen Howell","cole.tess@example.com",NULL,"$2y$12$.2Ovpz7Q5Nxh7V9ueymQ0eE/qGQjX1rYW5/0y8kDxLtZPeR8Gpneq","student",NULL,"1-984-576-8824","2005-05-04","male","junior","Computer Science","444",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:00"
"320","Greyson Marvin","kutch.jamie@example.net",NULL,"$2y$12$Qhj4HSyVmA5KEOOoNxf.5eE8SfJatnLyo27g62Am0651aXzYi4SCu","student",NULL,"351.975.6287","1997-08-21","male","junior","Computer Science","445",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:01"
"321","Shayne Kulas","coreilly@example.com",NULL,"$2y$12$9ma8n4ThyfxCH92G4H5D/.CzV8ssLCTJYuwaq2Aq/ABZhyKdfFQA6","student",NULL,"762-340-7017","2001-11-16","male","junior","Computer Science","446",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:01"
"322","Jon Mayer","unique.becker@example.com",NULL,"$2y$12$tDu5VVDLT1vjbI2MQQ9jIuDAIgEAB4ChIgdb97EkcNgRQMUuCcPqK","student",NULL,"+1 (240) 891-1927","2000-06-13","male","junior","Computer Science","447",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:01"
"323","Preston Witting","bosco.thurman@example.com",NULL,"$2y$12$Eydkdhs9rvMFyMLup1GkV.4p5drAJ7UXmGwx5vSm8tssJPNfdZWPW","student",NULL,"734-382-7217","2006-09-20","male","junior","Computer Science","448",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:02"
"324","Octavia Marks","udouglas@example.org",NULL,"$2y$12$/5VhdncyE5cb/gsQirf7eu806mm2efUjSEw4fIYpAKMJQf9sppNr.","student",NULL,"508.241.4563","2000-04-24","female","junior","Computer Science","449",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:02"
"325","Domenic Hirthe","yokuneva@example.org",NULL,"$2y$12$hJrtRMqjRTDj8dOtebZlg.uPZubIoRNgrK4xdd7pEqkl61zMvZWta","student",NULL,"+1-442-248-3259","1995-05-06","male","junior","Computer Science","450",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:02"
"326","Quentin Stamm","zachariah56@example.com",NULL,"$2y$12$gZExbK4YjaoXNLEK109yGOg.SnaFV7Low0VkEmpsoojrWX81QSRDi","student",NULL,"+1 (947) 818-6632","2004-04-27","male","junior","Computer Science","451",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:03"
"327","Joana Kuhn","marielle04@example.com",NULL,"$2y$12$84cPYCidDcXAYu4xanLVkuCXpWwntDM2nn5dYLdPlkfWEXGnM/n1e","student",NULL,"+1-774-732-2164","1999-07-16","female","junior","Computer Science","452",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:03"
"328","Dina Fritsch","anjali76@example.com",NULL,"$2y$12$6saaRPpTKk/Ng5XIEYyz7.Bi0zCh8ikAkYXh6JQKj2n0uLGdf2GBy","student",NULL,"+1 (727) 461-2690","1997-08-14","female","junior","Computer Science","453",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:03"
"329","Floyd Schimmel","lreynolds@example.net",NULL,"$2y$12$SQTnXvkoKoP2Xtb.q6R0suLISC7KsT7lT4OJCM.QoTipfr/UzjXqS","student",NULL,"+18596640618","1999-02-22","male","junior","Computer Science","454",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:03"
"330","Soledad Stark","hand.marlee@example.org",NULL,"$2y$12$5qo9C2ug84Ok9Mlbs1jAd.s/thwpy4mhcftSLRI9vpJRy64azB8fW","student",NULL,"(904) 523-3759","1996-02-06","male","junior","Computer Science","455",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:04"
"331","Maia Gottlieb","wilkinson.corine@example.com",NULL,"$2y$12$pxsjL/uEceSZ1eGkQy1VzersvqrQhNCzda4MQhQE3kp5DjWxiLDv6","student",NULL,"+1 (502) 239-2853","2000-04-20","female","junior","Computer Science","456",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:04"
"332","Beth Kris","darron83@example.com",NULL,"$2y$12$qTSFDGM/Qyptywe.e8j8vOLuEWfxwy5Vcrk8ARsgdCEQQkDINMEz6","student",NULL,"646-251-7927","2002-02-23","female","junior","Computer Science","457",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:04"
"333","Patrick Hoeger","alison11@example.net",NULL,"$2y$12$ad5jgYYftMqrP/eGBGOMce5EITdnTg5J2Sw7IFFE1mzMQYCn8Hega","student",NULL,"386.964.0939","2001-11-15","male","junior","Computer Science","458",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:05"
"334","Roscoe Swaniawski","lowe.tyshawn@example.org",NULL,"$2y$12$/dYI7sZoxfE/oLn05Ehm.uq7/bhKShjo6MHrabgykJboJwnfcBMUO","student",NULL,"1-865-307-1865","2006-08-18","male","junior","Computer Science","459",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:05"
"335","Collin Bashirian","reilly.alisha@example.net",NULL,"$2y$12$.MuD0ZxxHG5DbH/hEW7Z7etjnxq2ekkZhuEU/o3hcZNCxsMJnOUe2","student",NULL,"854.275.0537","2000-09-19","male","junior","Computer Science","460",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:05"
"336","Newton Harris","viva20@example.org",NULL,"$2y$12$z07oon7z3viOL3n0s3UUW.ZkAg7hWHLluw8Ho8MDOZdOF2JW2Wqoi","student",NULL,"+1 (701) 497-5138","2006-03-21","male","junior","Computer Science","461",NULL,"2025-04-29 10:58:45","2025-04-29 10:59:06"
"337","Ebony Ondricka","gheller@example.com",NULL,"$2y$12$WpiKxIv7MqVC6Me9zPujSOX.WAIoAAoHbmhyf5IlVptVRQYLWU0KG","student",NULL,"+1-458-660-6467","2000-11-01","female","junior","Computer Science","462",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:06"
"338","Carolina Howe","barrett53@example.net",NULL,"$2y$12$Ur6ju6mMM2Fjk3Yqpj8gDugpbiEBGQJ4VKYINoTKaMv37y8Z7lTg2","student",NULL,"+1.820.634.2931","2001-09-13","female","junior","Computer Science","463",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:06"
"339","Gabriel Franecki","kenya29@example.com",NULL,"$2y$12$BgBCUTMpV.OrMZJ.mXEQR.SMr907hBAz8GyLmsS0uHKm4UGAObWiu","student",NULL,"(276) 658-7374","1995-06-20","male","junior","Computer Science","464",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:07"
"340","Nellie Boyer","fritsch.christopher@example.com",NULL,"$2y$12$1GBxeoFhwcSTrvC7ASl.huc5seeUfc.Q2PehYXwI.xLwiHfeIOb2K","student",NULL,"1-657-738-3271","1997-08-27","female","junior","Computer Science","465",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:07"
"341","Damaris Lemke","kjohns@example.org",NULL,"$2y$12$dPzBSL8Dd4OEaBfej5WYHOEni899QLLhQDweBhX0nR.lHGeCKjHIe","student",NULL,"(618) 766-5157","1998-09-12","female","junior","Computer Science","466",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:07"
"342","Zakary Keebler","wyman.wanda@example.org",NULL,"$2y$12$/R1uXvPQzkh6dzzhBTRL.eHXT7/qs1KW/iV23t9187NvcmHxSuggW","student",NULL,"+1 (937) 714-2801","2005-01-12","male","junior","Computer Science","467",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:08"
"343","Kaci Rogahn","rashad.waelchi@example.com",NULL,"$2y$12$H9oxFwE55OqI1EczBkbAaufz.5xO77Iy3hmbp8cZJbra71iVKpdt6","student",NULL,"407.954.7416","2003-04-06","female","junior","Computer Science","468",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:08"
"344","Keira Stanton","bode.mya@example.net",NULL,"$2y$12$E40AR0TDfCpDnQVq2aTiA.N.NdRpurNBUnni/Hb3xofMU3E2ai7CK","student",NULL,"1-267-862-2901","1999-05-06","female","junior","Computer Science","469",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:08"
"345","Stanton Grimes","don21@example.org",NULL,"$2y$12$8Po7NADmsPkTxyUGNkonMOpU183NoXTjip6dfOJpo9cDcDO5LIDu2","student",NULL,"941-478-2951","2001-02-25","male","junior","Computer Science","470",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:08"
"346","Maudie Kihn","jamal07@example.net",NULL,"$2y$12$YvVsk3iWptbUe.zvrF/ZUuFiYgzg25JyyZHTplMusWMvBOAWWjnd6","student",NULL,"+1 (228) 662-9354","1998-11-07","female","junior","Computer Science","471",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:09"
"347","Rogelio Schinner","neil.yost@example.com",NULL,"$2y$12$PR8vhLLGCJQY.7MLcNApnO/BFJM4PPn4Rnzabu7tf0OneKGxlr/oC","student",NULL,"(607) 828-4201","2001-09-30","male","junior","Computer Science","472",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:09"
"348","Cindy Baumbach","hansen.fae@example.org",NULL,"$2y$12$DwKoGY5wtBLmv7URJ0CHO.pwUXW/nIAA489iGULzqVex6cgDIZ9Sm","student",NULL,"386.904.2524","1998-05-21","female","junior","Computer Science","473",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:10"
"349","Destiny Schamberger","alanna.king@example.net",NULL,"$2y$12$AEDrDTryiwdZ46ONwCH3Vur9xGkyTKTf.3MkpL7rSGmlWK1IyWaqS","student",NULL,"564-260-0089","1998-03-30","female","junior","Computer Science","474",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:10"
"350","Marlen Mayert","urogahn@example.net",NULL,"$2y$12$1gbU6sTArEoh0Z/iTvXHwOwkuTrd0yHnWTZrxSdTq9EbZikpxNDZy","student",NULL,"+1-530-418-6855","2004-04-03","female","junior","Computer Science","475",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:10"
"351","Aniyah Toy","bergnaum.angelica@example.org",NULL,"$2y$12$IL5bgHysBWMRVoYUy8ZNye8BVi3tu80D3J2SQVnNTk0LuCc5ubxPW","student",NULL,"+19737643538","1998-02-26","female","junior","Computer Science","476",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:11"
"352","Clinton Hayes","adella27@example.net",NULL,"$2y$12$UoKRp4VUfXGIPB9plKtZ6.f80x1GuiFp8q1mvKXW0QMji84ANGrwq","student",NULL,"+1-608-275-1591","2006-01-29","male","junior","Computer Science","477",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:11"
"353","Maritza Pacocha","bparker@example.com",NULL,"$2y$12$rVUqL0G8szhlwLpSVPiHUuvM1RCsmXtpqIFb7LSkwj80ZJ0IhGdzG","student",NULL,"(971) 753-9317","2004-03-13","female","junior","Computer Science","478",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:11"
"354","Nettie Effertz","vbarrows@example.com",NULL,"$2y$12$qnSFwoEB/gSUlBVxbI2ZveUEWFGAvcsuHlpiLWLl4JmLd4.Yrh/qq","student",NULL,"936.362.7042","1998-11-15","female","junior","Computer Science","479",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:12"
"355","Amy Cronin","angelica08@example.org",NULL,"$2y$12$h9fePw6Pl3pOr/WHxsPbjuJ3GCcjxuy.owFx7y.KkUr.PhoYtbs/u","student",NULL,"1-305-488-6959","2004-06-22","female","junior","Computer Science","480",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:12"
"356","Garth McCullough","casper.crist@example.net",NULL,"$2y$12$59B2674MFtzuPANNukskZeq5kumZ/cASssStWdoOEwSqHDD6DF.OK","student",NULL,"+1-469-426-5660","2001-11-18","male","junior","Computer Science","481",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:12"
"357","Catalina Kautzer","mhalvorson@example.net",NULL,"$2y$12$2Q6guTYQpPlAP9SaPaapAuJvo9YycBnB0iaG9dDwKT./woutgaTuG","student",NULL,"678.442.1810","2001-05-05","female","junior","Computer Science","482",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:12"
"358","Grace Aufderhar","senger.madeline@example.com",NULL,"$2y$12$BZuIMHUb4.9TkIjI6PDvDeDNZcqPPI1eYe.zJ7EWXDoFo3t6m9VxW","student",NULL,"1-678-297-5900","1999-10-03","female","junior","Computer Science","483",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:13"
"359","Gideon Klein","jules.kuvalis@example.org",NULL,"$2y$12$ise0SZNZpjFcZbqLtMBVo..w71GCuE0tJQfrJtRVBpVcxVoEOY1aG","student",NULL,"1-872-519-9223","2003-06-29","male","junior","Computer Science","484",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:13"
"360","Josianne Graham","felicia.jones@example.com",NULL,"$2y$12$SCtGBI5hbz7IjnV3k6sv9ulRi3XCbs1THknLmvuSri2DXqDsMGaum","student",NULL,"+12023856233","2007-04-17","female","junior","Computer Science","485",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:13"
"361","Kaya Friesen","ndoyle@example.org",NULL,"$2y$12$oxAtwNkq3C5LEP0yUkj3CuKjrHNyjrQVaOAyre5oNvLEoPiMomli2","student",NULL,"+1-314-241-4410","1997-12-24","female","junior","Computer Science","486",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:14"
"362","Justus Waelchi","renner.adrain@example.org",NULL,"$2y$12$GMTtAuxM5x2hfwSF4Q6gwudPFjkcRZbO2u9yk78DFq/ZYj84V6Os6","student",NULL,"949-293-1959","1996-01-14","male","junior","Computer Science","487",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:14"
"363","Sydney Williamson","javonte06@example.net",NULL,"$2y$12$MdW0ErwmBWOBFhe0LStKou.GKiyW35OayUWQ2l/v0rFyzAgEXDWfe","student",NULL,"773.691.6669","2001-04-04","male","junior","Computer Science","488",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:14"
"364","Daisy Miller","ortiz.kiley@example.org",NULL,"$2y$12$XcbdrmYNhA.Xycds1p.UpOjHr4QQnpbYqwISp6UptFhj3pGYRFqoa","student",NULL,"223-871-2918","1996-02-28","female","junior","Computer Science","489",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:14"
"365","Giuseppe Robel","williamson.enos@example.org",NULL,"$2y$12$HrHGFIHupW23mIB74vxnsOd8bUsu.is.0hViaR/21YMb273kWrmee","student",NULL,"+1 (859) 814-7473","2004-04-23","male","junior","Computer Science","490",NULL,"2025-04-29 10:58:46","2025-04-29 10:59:15"
"366","Dan Windler","ogutmann@example.net",NULL,"$2y$12$cDtC1kvMw81K3V1IGw7KSewjboKc.byV7AjkYdzR4SrHDq9wruhmq","student",NULL,"+1 (973) 576-9421","2001-07-22","male","junior","Computer Science","491",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:15"
"367","Noah Mayert","nosinski@example.com",NULL,"$2y$12$XYon61ss4WzZdKrUFVhOouaIa0F7L0aWOKVglUEq.F7MY4f1k.RIi","student",NULL,"+18325145797","1999-08-26","male","junior","Computer Science","492",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:15"
"368","Karlie Reilly","lueilwitz.gino@example.com",NULL,"$2y$12$8EmwUV/8pk/n5J1e7Y0R7OinfhrczQcj6NgH2wGN5g508M.cHdnfS","student",NULL,"1-475-448-4682","2006-10-24","female","junior","Computer Science","493",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:15"
"369","Leonora Reichert","tamara77@example.org",NULL,"$2y$12$Oa/zPfHcRnM08jAi7q8wOunomjeSLB4HO1RllC1AfANnFDv.cnVMG","student",NULL,"+1-434-521-3716","1999-11-03","female","junior","Computer Science","494",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:16"
"370","Lacey Yost","jacobi.domenick@example.com",NULL,"$2y$12$g3vGIALS79Ugo4aBJkz5GOgnNtNhhz/Zbp/VDSvK.xt5TJRKy9xSu","student",NULL,"689-399-8578","1996-05-10","female","junior","Computer Science","495",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:16"
"371","Blair Gorczany","fern.macejkovic@example.org",NULL,"$2y$12$Cld50gtEeorUj3UrkIXXhOOd0hMPlKOSTuzkqZBvoazd2MkUM.nni","student",NULL,"1-351-671-5239","2002-07-20","male","junior","Computer Science","496",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:16"
"372","Barry Hills","neil29@example.org",NULL,"$2y$12$Ql/sDVv9rk9SDrSUMIKlHusi3nClaOmJhH0ZpkJ6a1x.o/lRCzNsK","student",NULL,"(612) 858-5515","2000-07-31","male","junior","Computer Science","497",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:16"
"373","Giovanna Pacocha","umacejkovic@example.org",NULL,"$2y$12$enJ3F91x7PB0DV4eb5WAueEL5gSum4luk94AhhaF1LyB1jzZxgR32","student",NULL,"484-407-5224","2004-04-12","female","junior","Computer Science","498",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:17"
"374","Effie Hyatt","grodriguez@example.org",NULL,"$2y$12$HI6D2WqfcxmpjcYqm6xVLegJChRdg8Xn3oI9YIx60/eFziF/uhJ0y","student",NULL,"936-325-6800","1998-05-06","female","junior","Computer Science","499",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:17"
"375","Mollie Flatley","nbogan@example.com",NULL,"$2y$12$TgFqTZKmiHjOpmi0fPyusu6bifP3SYyx7DlIev/eyg2ZJH1Cy2a8e","student",NULL,"+17073182910","2002-09-11","female","junior","Computer Science","500",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:17"
"376","Clementina Bauch","adaline51@example.org",NULL,"$2y$12$yF.nho3wxWokInntWYvtTevBwHFHGNd2JPh3tIAl7avEzLSdncI62","student",NULL,"+1.650.322.8880","2002-01-23","female","junior","Computer Science","501",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:18"
"377","Leilani Hayes","fgleichner@example.com",NULL,"$2y$12$IPvxVKxPGa3Sl.Zeyi8X7OtR34smRhDdNir2nzNzHVA20vsZUhGZ6","student",NULL,"980-712-4417","2001-06-06","female","junior","Computer Science","502",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:18"
"378","Shad Friesen","xsanford@example.com",NULL,"$2y$12$XvY59UPBF7vEUyQTJmIaeufJbanEZnyRiZa1y0NA64AblnWkirK0O","student",NULL,"+1-480-230-0815","1999-11-29","male","junior","Computer Science","503",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:18"
"379","Jerrod Pouros","gage67@example.org",NULL,"$2y$12$Xq05J.s2lkq/N0LhkQElnuPGiP8YX5adqSkFrQw8gA2zSP9Jh3Gea","student",NULL,"(435) 327-2713","2000-11-27","male","junior","Computer Science","504",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:18"
"380","Iliana Fay","zhayes@example.org",NULL,"$2y$12$BA2M4Sg7df3/R/.ZvfQPiOYylPJdNY1DrAOYf3uPDe/t6.tHw3dSy","student",NULL,"949-780-9223","2002-11-18","female","junior","Computer Science","505",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:19"
"381","Ashlynn Doyle","little.maybelle@example.net",NULL,"$2y$12$39ISYkQh0VEKF0oSBHog4O6AnroAUNkoe80gDq0hcJd3HHuZs1AT2","student",NULL,"717.793.4646","2003-12-02","female","junior","Computer Science","506",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:19"
"382","Oleta Torphy","koelpin.efrain@example.net",NULL,"$2y$12$j6noqzJfoMffTsN41hur7OscYCi2FDcJ/AgDg5yvjW4YVrq/z6v1e","student",NULL,"1-408-800-8125","1997-01-04","female","junior","Computer Science","507",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:19"
"383","Elfrieda Corkery","dach.nikko@example.org",NULL,"$2y$12$C5YRBoJ.xRZr8h0xMZpbzurK3aImh9idqH5/y8j.60f5kYPssc2ya","student",NULL,"+1-463-853-6850","1996-08-31","female","junior","Computer Science","508",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:20"
"384","Saul Heaney","spencer.okon@example.net",NULL,"$2y$12$A9Ht9RWC5JUNCAgbv9Jilej0JaApkF4uNDtAAH9zvOBU.S2e7h.Ru","student",NULL,"+1-276-967-0549","1998-12-05","male","junior","Computer Science","509",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:20"
"385","Larue Wiza","ubaldo.cruickshank@example.net",NULL,"$2y$12$qRTIPhqN8Wf0NMxcA6A7NuOIcNaXYl0F.xfgAiFZzFDd3o1u6bCoi","student",NULL,"240-539-7022","2002-08-18","male","junior","Computer Science","510",NULL,"2025-04-29 10:58:47","2025-04-29 10:59:20"
